0;0,1;0,05;0,01
1;2,71;3,84;6,64
2;4,61;5,99;9,21
3;6,25;7,82;11,35
4;7,78;9,49;13,28
5;9,24;11,07;15,09
6;10,65;12,59;16,81
7;12,02;14,07;18,48
8;13,36;15,51;20,09
9;14,68;16,92;21,67
10;15,99;18,31;23,21
11;17,28;19,68;24,73
12;18,55;21,03;26,22
13;19,81;22,37;27,69
14;21,06;23,69;29,15
15;22,31;25;30,58
16;23,54;26,3;32,01
17;24,77;27,59;33,42
18;25,99;28,87;34,81
19;27,2;30,15;36,2
20;28,41;31,42;37,57
21;29,62;32,68;38,94
22;30,81;33,93;40,3
23;32,01;35,18;41,65
24;33,2;36,42;42,99
25;34,38;37,66;44,32
26;35,56;38,89;45,65
27;36,74;40,12;46,97
28;37,92;41,34;48,29
29;39,09;42,56;49,6
30;40,26;43,78;50,9
31;41,42;44,99;52,2
32;42,59;46,2;53,5
33;43,75;47,41;54,79
34;44,9;48,61;56,07
35;46,06;49,81;57,36
36;47,21;51,01;58,63
37;48,36;52,2;59,91
38;49,51;53,39;61,18
39;50,66;54,58;62,44
40;51,81;55,77;63,71
41;52,49;56,95;64,97
42;54,09;58,14;66,22
43;55,23;59,31;67,48
44;56,37;60,49;68,73
45;57,51;61,67;69,98
46;58,64;62,84;71,22
47;59,77;64,01;72,46
48;60,91;65,18;73,7
49;62,04;66,35;74,94
50;63,17;67,52;76,18
51;64,3;68,68;77,41
52;65,42;69,85;78,64
53;66,55;71,01;79,87
54;67,67;72,17;81,09
55;68,8;73,33;82,32
56;69,92;74,48;83,54
57;71,04;75,64;84,76
58;72,16;76,79;85,98
59;73,28;77,95;87,19
60;74,4;79,1;88,41
61;75,51;80,23;89,59
62;76,63;81,38;90,8
63;77,75;82,53;92,01
64;78,86;83,68;93,22
65;79,97;84,82;94,42
66;81,09;85,97;95,63
67;82,2;87,11;96,83
68;83,31;88,25;98,03
69;84,42;89,39;99,23
70;85,53;90,53;100,43
71;86,64;91,67;101,62
72;87,74;92,81;102,82
73;88,85;93,95;104,01
74;89,96;95,08;105,2
75;91,06;96,22;106,39
76;92,17;97,35;107,58
78;94,37;99,62;109,96
79;95,48;100,75;111,14
80;96,58;101,88;112,33
90;107,57;113,15;124,12
100;118,5;124,34;135,81
110;129,39;135,48;147,41
120;140,23;146,57;158,95
130;151,05;157,61;170,42
140;161,83;138,61;181,84
150;172,58;179,58;193,21
200;226,02;233,99;249,45
250;279,05;287,88;304,94
300;331,79;341,4;359,91
350;384,31;394,63;414,47
